Username,ID,Date,Session,Condition_Number,Condition_Description,Output_File,Stimuli_File,Procedure_File,Browser,DeviceType,OS,IP
test,weo0anccbc,2022-09-15T18:14:01+00:00,1,1,"Version 1",Output_Session1_test_weo0anccbc.csv,"updated stim.csv",Version1.csv,"Chrome Generic",Desktop,Win10,10.24.26.120
ML5115,72aqgaagpe,2022-09-22T00:51:55+00:00,1,2,"Version 2",Output_Session1_ML5115_72aqgaagpe.csv,"updated stim.csv",Version2.csv,"Chrome Generic",Desktop,Win10,138.87.133.8
JB1475,zqw3pqfgsp,2022-09-22T01:44:09+00:00,1,3,"Version 3",Output_Session1_JB1475_zqw3pqfgsp.csv,"updated stim.csv",Version3.csv,"Safari Generic",Desktop,MacOSX,138.87.133.6
MM9115,8ynb8vwj6c,2022-09-22T02:00:04+00:00,1,4,"Version 4",Output_Session1_MM9115_8ynb8vwj6c.csv,"updated stim.csv",Version4.csv,"Chrome Generic",Desktop,Win10,98.215.61.12
JB1475,9jsxaln5x8,2022-09-22T02:02:34+00:00,1,5,"Version 5",Output_Session1_JB1475_9jsxaln5x8.csv,"updated stim.csv",Version5.csv,"Safari Generic",Desktop,MacOSX,138.87.133.6
MW6542,hsyqn5504j,2022-09-22T02:18:36+00:00,1,6,"Version 6",Output_Session1_MW6542_hsyqn5504j.csv,"updated stim.csv",Version6.csv,"Safari Generic",Desktop,MacOSX,138.87.133.9
EB2483,9a6a96k1lq,2022-09-22T02:28:54+00:00,1,7,"Version 7",Output_Session1_EB2483_9a6a96k1lq.csv,"updated stim.csv",Version7.csv,"Edge Generic",Desktop,Win10,138.87.133.15
JanedisColon331.643.2681,hnsz3g0edm,2022-09-22T02:31:22+00:00,1,8,"Version 8",Output_Session1_JanedisColon331.643.2681_hnsz3g0edm.csv,"updated stim.csv",Version8.csv,"Chrome Generic",Desktop,Win10,138.87.133.6
VL8728,wwn89v5rz7,2022-09-22T02:40:42+00:00,1,9,"Version 9",Output_Session1_VL8728_wwn89v5rz7.csv,"updated stim.csv",Version9.csv,"Safari Generic",Desktop,MacOSX,138.87.133.2
JB2271,bcq8lduaye,2022-09-22T02:51:07+00:00,1,10,"Version 10",Output_Session1_JB2271_bcq8lduaye.csv,"updated stim.csv",Version10.csv,"Safari Generic",Desktop,MacOSX,138.87.133.11
AU1755,nvjm88b363,2022-09-22T03:01:07+00:00,1,11,"Version 11",Output_Session1_AU1755_nvjm88b363.csv,"updated stim.csv",Version11.csv,"Chrome Generic",Desktop,Win10,138.87.133.20
EV9981,xetd05sdjs,2022-09-22T03:18:01+00:00,1,12,"Version 12",Output_Session1_EV9981_xetd05sdjs.csv,"updated stim.csv",Version12.csv,"Safari Generic",Desktop,MacOSX,138.87.133.4
IS1739,4z6hqevrpf,2022-09-22T04:31:21+00:00,1,13,"Version 13",Output_Session1_IS1739_4z6hqevrpf.csv,"updated stim.csv",Version13.csv,"Edge Generic",Desktop,Win10,138.87.133.17
IS1739,bev6dqq07d,2022-09-22T04:50:21+00:00,1,14,"Version 14",Output_Session1_IS1739_bev6dqq07d.csv,"updated stim.csv",Version14.csv,"Edge Generic",Desktop,Win10,138.87.133.17
BK1319,lunf7900ek,2022-09-22T12:52:53+00:00,1,15,"Version 15",Output_Session1_BK1319_lunf7900ek.csv,"updated stim.csv",Version15.csv,"Chrome Generic",Desktop,Win10,138.87.133.5
JG5590,9df44hqnpw,2022-09-22T14:52:39+00:00,1,16,"Version 16",Output_Session1_JG5590_9df44hqnpw.csv,"updated stim.csv",Version16.csv,"Safari Generic",Desktop,MacOSX,138.87.133.15
AC9772,l9cqvsptm0,2022-09-22T15:11:51+00:00,1,17,"Version 17",Output_Session1_AC9772_l9cqvsptm0.csv,"updated stim.csv",Version17.csv,"Chrome Generic",Desktop,Win10,138.87.133.18
CM1146,tizaif089x,2022-09-22T16:09:20+00:00,1,18,"Version 18",Output_Session1_CM1146_tizaif089x.csv,"updated stim.csv",Version18.csv,"Chrome Generic",Desktop,Win10,138.87.133.1
MR8360,4hvyyljwix,2022-09-22T16:58:05+00:00,1,19,"Version 19",Output_Session1_MR8360_4hvyyljwix.csv,"updated stim.csv",Version19.csv,"Safari Generic",Desktop,MacOSX,138.87.133.1
MS3644,fpgewq91c0,2022-09-22T17:31:54+00:00,1,20,"Version 20",Output_Session1_MS3644_fpgewq91c0.csv,"updated stim.csv",Version20.csv,"Chrome Generic",Desktop,Win10,138.87.133.11
PS1873,el0favuci3,2022-09-22T17:34:14+00:00,1,21,"Version 21",Output_Session1_PS1873_el0favuci3.csv,"updated stim.csv",Version21.csv,"Safari Generic",Desktop,MacOSX,68.180.95.48
LA2744,v0v45ubvbv,2022-09-22T17:34:23+00:00,1,22,"Version 22",Output_Session1_LA2744_v0v45ubvbv.csv,"updated stim.csv",Version22.csv,"Edge Generic",Desktop,Win10,138.87.133.18
